source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID054_LOC_RC011021-5.00x5.00-Z Height_Forward-251001-CRO_0c8e549d.tiff,particle_count_align_flatten_p95,particle_count,2,6,2,2,459.8408989031951,11.420594763010882,3.955586942464974e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,10,20
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,particle_count_align_flatten_p95,particle_count,0,4,0,0,0.0,0.0,2.647777739941626e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,11,0
PEGDA01TPO10SiNPSam02_S2_P__GrID056_LOC_RC012002-5.00x5.00-Z Height_Forward-251001-CRO_3b640111.tiff,particle_count_align_flatten_p95,particle_count,0,3,0,0,0.0,0.0,1.5970764321680858e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,11,1
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,particle_count_align_flatten_p95,particle_count,1,2,1,1,370.74757247616293,0.0,1.534126339321721e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,11,5
PEGDA01TPO10SiNPSam02_S2_P__GrID058_LOC_RC012010-5.00x5.00-Z Height_Forward-251001-CRO_6957759f.tiff,particle_count_align_flatten_p95,particle_count,3,10,3,1,428.6598215116358,85.63967189126355,3.756965157684585e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,11,9
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,particle_count_align_flatten_p95,particle_count,0,7,0,0,0.0,0.0,6.34592602794888e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,11,10
PEGDA01TPO10SiNPSam02_S2_P__GrID060_LOC_RC012012-5.00x5.00-Z Height_Forward-251001-CRO_ba40e05b.tiff,particle_count_align_flatten_p95,particle_count,1,6,1,1,519.6638351705346,0.0,2.576943180765769e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,11,11
PEGDA01TPO10SiNPSam02_S2_P__GrID061_LOC_RC012016-5.00x5.00-Z Height_Forward-251001-CRO_ab1842c6.tiff,particle_count_align_flatten_p95,particle_count,0,6,0,0,0.0,0.0,1.3406462754669025e-08,percentile(95.0),2,350.0,550.0,900.0,512,512,11,15
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,particle_count_align_flatten_p95,particle_count,1,12,1,1,503.64476327677426,0.0,2.1558319787873573e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,11,19
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,particle_count_align_flatten_p95,particle_count,0,6,0,0,0.0,0.0,2.9650491176998616e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,11,20
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,particle_count_align_flatten_p95,particle_count,2,13,2,2,425.54332879266076,70.69359735874238,1.0783658875142264e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,13,3
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,particle_count_align_flatten_p95,particle_count,2,12,2,2,439.1277626016056,65.1193747252625,6.165655454959977e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,13,7
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,particle_count_align_flatten_p95,particle_count,0,5,0,0,0.0,0.0,3.6806668844599756e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,13,13
PEGDA01TPO10SiNPSam02_S2_P__GrID067_LOC_RC016001-5.00x5.00-Z Height_Forward-251002-CRO_a74b17e0.tiff,particle_count_align_flatten_p95,particle_count,4,15,4,2,412.3563214925056,58.209588994176556,2.985413594995735e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,15,0
