source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID061_LOC_RC012016-5.00x5.00-Z Height_Forward-251001-CRO_ab1842c6.tiff,particle_count_align_flatten_mean,particle_count,0,29,0,0,0.0,0.0,-7.905402917567874e-11,mean,1,350.0,550.0,900.0,512,512,11,15
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,particle_count_align_flatten_mean,particle_count,0,19,0,0,0.0,0.0,4.324826206117672e-09,mean,0,350.0,550.0,900.0,512,512,11,19
PEGDA01TPO10SiNPSam02_S2_P__GrID063_LOC_RC012021-5.00x5.00-Z Height_Forward-251001-CRO_46a0c85f.tiff,particle_count_align_flatten_mean,particle_count,0,9,0,0,0.0,0.0,2.5920854854638728e-08,mean,0,350.0,550.0,900.0,512,512,11,20
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,particle_count_align_flatten_mean,particle_count,1,44,1,1,436.4822370370747,0.0,1.8787377849032407e-08,mean,1,350.0,550.0,900.0,512,512,13,3
PEGDA01TPO10SiNPSam02_S2_P__GrID065_LOC_RC014008-5.00x5.00-Z Height_Forward-251001-CRO_78ba3437.tiff,particle_count_align_flatten_mean,particle_count,0,27,0,0,0.0,0.0,5.3364569282717396e-08,mean,0,350.0,550.0,900.0,512,512,13,7
PEGDA01TPO10SiNPSam02_S2_P__GrID066_LOC_RC014014-5.00x5.00-Z Height_Forward-251002-CRO_b56395ca.tiff,particle_count_align_flatten_mean,particle_count,0,11,0,0,0.0,0.0,6.793922497443827e-08,mean,1,350.0,550.0,900.0,512,512,13,13
PEGDA01TPO10SiNPSam02_S2_P__GrID067_LOC_RC016001-5.00x5.00-Z Height_Forward-251002-CRO_a74b17e0.tiff,particle_count_align_flatten_mean,particle_count,0,7,0,0,0.0,0.0,1.0703215364752295e-07,mean,0,350.0,550.0,900.0,512,512,15,0
PEGDA01TPO10SiNPSam02_S2_P__GrID068_LOC_RC016005-5.00x5.00-Z Height_Forward-251002-CRO_14c4da10.tiff,particle_count_align_flatten_mean,particle_count,0,20,0,0,0.0,0.0,3.110631162687194e-08,mean,0,350.0,550.0,900.0,512,512,15,4
PEGDA01TPO10SiNPSam02_S2_P__GrID069_LOC_RC016006-5.00x5.00-Z Height_Forward-251002-CRO_f5362d15.tiff,particle_count_align_flatten_mean,particle_count,1,11,1,1,432.85064171435346,0.0,4.8691382488431125e-08,mean,0,350.0,550.0,900.0,512,512,15,5
PEGDA01TPO10SiNPSam02_S2_P__GrID070_LOC_RC016010-5.00x5.00-Z Height_Forward-251002-CRO_c2122beb.tiff,particle_count_align_flatten_mean,particle_count,0,88,0,0,0.0,0.0,3.98946440071226e-10,mean,1,350.0,550.0,900.0,512,512,15,9
PEGDA01TPO10SiNPSam02_S2_P__GrID071_LOC_RC016011-5.00x5.00-Z Height_Forward-251002-CRO_18a331b5.tiff,particle_count_align_flatten_mean,particle_count,0,91,0,0,0.0,0.0,2.72109114362164e-10,mean,0,350.0,550.0,900.0,512,512,15,10
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,particle_count_align_flatten_mean,particle_count,0,211,0,0,0.0,0.0,2.227413680900193e-10,mean,0,350.0,550.0,900.0,512,512,15,11
PEGDA01TPO10SiNPSam02_S2_P__GrID073_LOC_RC016016-5.00x5.00-Z Height_Forward-251002-CRO_2117a566.tiff,particle_count_align_flatten_mean,particle_count,0,21,0,0,0.0,0.0,-2.0431418499608987e-08,mean,0,350.0,550.0,900.0,512,512,15,15
PEGDA01TPO10SiNPSam02_S2_P__GrID074_LOC_RC016017-5.00x5.00-Z Height_Forward-251002-CRO_6cb40ae2.tiff,particle_count_align_flatten_mean,particle_count,1,17,1,1,387.09065112958257,0.0,5.908540788493607e-08,mean,1,350.0,550.0,900.0,512,512,15,16
PEGDA01TPO10SiNPSam02_S2_P__GrID075_LOC_RC016021-5.00x5.00-Z Height_Forward-251002-CRO_87ad47c7.tiff,particle_count_align_flatten_mean,particle_count,2,23,2,0,402.6193459063424,0.9047671440476392,1.3436597420851392e-08,mean,2,350.0,550.0,900.0,512,512,15,20
PEGDA01TPO10SiNPSam02_S2_P__GrID076_LOC_RC017001-5.00x5.00-Z Height_Forward-251002-CRO_991ec5d1.tiff,particle_count_align_flatten_mean,particle_count,0,5,0,0,0.0,0.0,1.4417553463375686e-07,mean,0,350.0,550.0,900.0,512,512,16,0
PEGDA01TPO10SiNPSam02_S2_P__GrID077_LOC_RC017005-5.00x5.00-Z Height_Forward-251002-CRO_d4bb3b96.tiff,particle_count_align_flatten_mean,particle_count,1,8,1,1,389.90361979126106,0.0,8.04691113031363e-08,mean,0,350.0,550.0,900.0,512,512,16,4
PEGDA01TPO10SiNPSam02_S2_P__GrID078_LOC_RC017006-5.00x5.00-Z Height_Forward-251002-CRO_6f3a9547.tiff,particle_count_align_flatten_mean,particle_count,3,154,3,1,468.229679988714,25.74299236230798,1.1776340018094105e-09,mean,1,350.0,550.0,900.0,512,512,16,5
PEGDA01TPO10SiNPSam02_S2_P__GrID079_LOC_RC017016-5.00x5.00-Z Height_Forward-251002-CRO_fa58898f.tiff,particle_count_align_flatten_mean,particle_count,0,4,0,0,0.0,0.0,1.4151401454118286e-08,mean,0,350.0,550.0,900.0,512,512,16,15
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,particle_count_align_flatten_mean,particle_count,2,25,2,2,486.7385826719101,60.24646469489835,6.054229839461138e-08,mean,1,350.0,550.0,900.0,512,512,16,16
PEGDA01TPO10SiNPSam02_S2_P__GrID081_LOC_RC017021-5.00x5.00-Z Height_Forward-251002-CRO_b2f0a4b7.tiff,particle_count_align_flatten_mean,particle_count,1,10,1,1,363.9715833714717,0.0,1.2220595590763188e-07,mean,0,350.0,550.0,900.0,512,512,16,20
PEGDA01TPO10SiNPSam02_S2_P__GrID082_LOC_RC020001-5.00x5.00-Z Height_Forward-251002-CRO_bb7af964.tiff,particle_count_align_flatten_mean,particle_count,0,4,0,0,0.0,0.0,2.98220874671852e-07,mean,1,350.0,550.0,900.0,512,512,19,0
PEGDA01TPO10SiNPSam02_S2_P__GrID083_LOC_RC020002-5.00x5.00-Z Height_Forward-251002-CRO_0566814c.tiff,particle_count_align_flatten_mean,particle_count,3,22,3,3,448.41216125071077,58.02365034545175,5.542537062915828e-08,mean,1,350.0,550.0,900.0,512,512,19,1
PEGDA01TPO10SiNPSam02_S2_P__GrID084_LOC_RC020010-5.00x5.00-Z Height_Forward-251002-CRO_841cbedf.tiff,particle_count_align_flatten_mean,particle_count,0,4,0,0,0.0,0.0,5.699858095084066e-08,mean,0,350.0,550.0,900.0,512,512,19,9
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,particle_count_align_flatten_mean,particle_count,0,4,0,0,0.0,0.0,7.570758947466928e-08,mean,0,350.0,550.0,900.0,512,512,19,10
PEGDA01TPO10SiNPSam02_S2_P__GrID086_LOC_RC020012-5.00x5.00-Z Height_Forward-251002-CRO_0cb0a3bf.tiff,particle_count_align_flatten_mean,particle_count,0,2,0,0,0.0,0.0,2.0888507592645262e-07,mean,0,350.0,550.0,900.0,512,512,19,11
PEGDA01TPO10SiNPSam02_S2_P__GrID087_LOC_RC020020-5.00x5.00-Z Height_Forward-251002-CRO_c4289880.tiff,particle_count_align_flatten_mean,particle_count,1,15,1,1,374.9811031416506,0.0,9.257155582697133e-09,mean,0,350.0,550.0,900.0,512,512,19,19
PEGDA01TPO10SiNPSam02_S2_P__GrID088_LOC_RC020021-5.00x5.00-Z Height_Forward-251002-CRO_325405bd.tiff,particle_count_align_flatten_mean,particle_count,1,20,1,1,401.56341616850915,0.0,8.407266058666482e-08,mean,0,350.0,550.0,900.0,512,512,19,20
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,particle_count_align_flatten_mean,particle_count,1,14,1,1,481.33150390020444,0.0,6.799913902489795e-08,mean,0,350.0,550.0,900.0,512,512,20,0
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,particle_count_align_flatten_mean,particle_count,2,19,2,2,421.9265132840475,46.62173196116251,1.251002502545137e-07,mean,1,350.0,550.0,900.0,512,512,20,1
PEGDA01TPO10SiNPSam02_S2_P__GrID091_LOC_RC021005-5.00x5.00-Z Height_Forward-251002-CRO_a877c9ce.tiff,particle_count_align_flatten_mean,particle_count,0,20,0,0,0.0,0.0,-8.294511086927614e-09,mean,1,350.0,550.0,900.0,512,512,20,4
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,particle_count_align_flatten_mean,particle_count,0,3,0,0,0.0,0.0,5.95324157153428e-08,mean,0,350.0,550.0,900.0,512,512,20,5
