source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID068_LOC_RC014008-5.00x5.00-Modulus_Backward-251101-CRO_c3cea234.tiff,Modulus,Backward,68,251101,modulus_raw_three_sigma,modulus,127710529.176889,29515438.89956941,kPa,254984,13,7
PEGDA01TPO000SiNP_Sam01_S1_P__GrID069_LOC_RC014014-5.00x5.00-Modulus_Backward-251101-CRO_d47b1701.tiff,Modulus,Backward,69,251101,modulus_raw_three_sigma,modulus,37444475.86718615,7175510.257673444,kPa,258320,13,13
PEGDA01TPO000SiNP_Sam01_S1_P__GrID070_LOC_RC014019-5.00x5.00-Modulus_Backward-251101-CRO_3965c473.tiff,Modulus,Backward,70,251101,modulus_raw_three_sigma,modulus,77312653.45348346,34294823.73357436,kPa,247736,13,18
PEGDA01TPO000SiNP_Sam01_S1_P__GrID071_LOC_RC016001-5.00x5.00-Modulus_Backward-251101-CRO_fff4ad04.tiff,Modulus,Backward,71,251101,modulus_raw_three_sigma,modulus,67337411.06776689,28989129.917566918,kPa,250067,15,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID072_LOC_RC016005-5.00x5.00-Modulus_Backward-251101-CRO_d553c811.tiff,Modulus,Backward,72,251101,modulus_raw_three_sigma,modulus,47727514.168723926,14209864.138667816,kPa,255428,15,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID073_LOC_RC016006-5.00x5.00-Modulus_Backward-251101-CRO_127ea445.tiff,Modulus,Backward,73,251101,modulus_raw_three_sigma,modulus,65674560.372084014,28815815.440359168,kPa,249127,15,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID074_LOC_RC016010-5.00x5.00-Modulus_Backward-251101-CRO_a0c9fbee.tiff,Modulus,Backward,74,251101,modulus_raw_three_sigma,modulus,456757987.07436615,112737232.49276763,kPa,244446,15,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID075_LOC_RC016011-5.00x5.00-Modulus_Backward-251101-CRO_d1009cff.tiff,Modulus,Backward,75,251101,modulus_raw_three_sigma,modulus,36959363.16651287,6808242.29125562,kPa,258049,15,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID076_LOC_RC016012-5.00x5.00-Modulus_Backward-251102-CRO_be40d91a.tiff,Modulus,Backward,76,251102,modulus_raw_three_sigma,modulus,43611131.53343816,11101452.018113496,kPa,257934,15,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID077_LOC_RC016016-5.00x5.00-Modulus_Backward-251102-CRO_3634df40.tiff,Modulus,Backward,77,251102,modulus_raw_three_sigma,modulus,40444609.44617006,7339069.670761307,kPa,259024,15,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID078_LOC_RC016017-5.00x5.00-Modulus_Backward-251102-CRO_91b19784.tiff,Modulus,Backward,78,251102,modulus_raw_three_sigma,modulus,151741885.5050474,26378510.848027963,kPa,258880,15,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID079_LOC_RC016021-5.00x5.00-Modulus_Backward-251102-CRO_8280eede.tiff,Modulus,Backward,79,251102,modulus_raw_three_sigma,modulus,34722867.46630488,8546562.77952143,kPa,252286,15,20
